id,manufacturer_id,product_code,stock_product_name,color_code,color_name,size_code,size_name,quantity,incoming_quantity_1,incoming_date_1,incoming_quantity_2,incoming_date_2,incoming_quantity_3,incoming_date_3,category_id,is_published,brand_id,list_price,cost_price,jan_code,created_at,updated_at
stock_manu_0002_110001_0001_02,manu_0002,110001,"6.5ｵﾝｽ ﾌｧｲﾝｼﾞｬｰｼﾞｰTｼｬﾂ",0001,ﾎﾜｲﾄ,02,S,27386,1570,2025-12-20,,,,,,,,1850,,4527078400977,"2025-11-13 19:00:53","2025-11-13 19:00:53"
stock_manu_0002_110001_0001_03,manu_0002,110001,"6.5ｵﾝｽ ﾌｧｲﾝｼﾞｬｰｼﾞｰTｼｬﾂ",0001,ﾎﾜｲﾄ,03,M,71950,15100,2025-12-20,,,,,,,,1850,,4527078400984,"2025-11-13 19:00:53","2025-11-13 19:00:53"
stock_manu_0002_110001_0001_04,manu_0002,110001,"6.5ｵﾝｽ ﾌｧｲﾝｼﾞｬｰｼﾞｰTｼｬﾂ",0001,ﾎﾜｲﾄ,04,L,98528,8900,2025-12-20,,,,,,,,1850,,4527078400991,"2025-11-13 19:00:53","2025-11-13 19:00:53"
stock_manu_0002_110001_0001_05,manu_0002,110001,"6.5ｵﾝｽ ﾌｧｲﾝｼﾞｬｰｼﾞｰTｼｬﾂ",0001,ﾎﾜｲﾄ,05,XL,74222,2570,2025-12-20,,,,,,,,1850,,4527078401004,"2025-11-13 19:00:53","2025-11-13 19:00:53"
stock_manu_0002_110001_0001_06,manu_0002,110001,"6.5ｵﾝｽ ﾌｧｲﾝｼﾞｬｰｼﾞｰTｼｬﾂ",0001,ﾎﾜｲﾄ,06,XXL,21821,2000,2026-01-20,,,,,,,,2360,,4527078401011,"2025-11-13 19:00:53","2025-11-13 19:00:53"
stock_manu_0002_110001_0002_02,manu_0002,110001,"6.5ｵﾝｽ ﾌｧｲﾝｼﾞｬｰｼﾞｰTｼｬﾂ",0002,ﾌﾞﾗｯｸ,02,S,23096,500,2025-12-20,,,,,,,,1970,,4527078401028,"2025-11-13 19:00:53","2025-11-13 19:00:53"
stock_manu_0002_110001_0002_03,manu_0002,110001,"6.5ｵﾝｽ ﾌｧｲﾝｼﾞｬｰｼﾞｰTｼｬﾂ",0002,ﾌﾞﾗｯｸ,03,M,64205,1890,2025-12-20,,,,,,,,1970,,4527078401035,"2025-11-13 19:00:53","2025-11-13 19:00:53"
stock_manu_0002_110001_0002_04,manu_0002,110001,"6.5ｵﾝｽ ﾌｧｲﾝｼﾞｬｰｼﾞｰTｼｬﾂ",0002,ﾌﾞﾗｯｸ,04,L,86257,2100,2025-12-20,,,,,,,,1970,,4527078401042,"2025-11-13 19:00:53","2025-11-13 19:00:53"
stock_manu_0002_110001_0002_05,manu_0002,110001,"6.5ｵﾝｽ ﾌｧｲﾝｼﾞｬｰｼﾞｰTｼｬﾂ",0002,ﾌﾞﾗｯｸ,05,XL,67475,9000,2026-01-20,,,,,,,,1970,,4527078401059,"2025-11-13 19:00:53","2025-11-13 19:00:53"
stock_manu_0002_110001_0002_06,manu_0002,110001,"6.5ｵﾝｽ ﾌｧｲﾝｼﾞｬｰｼﾞｰTｼｬﾂ",0002,ﾌﾞﾗｯｸ,06,XXL,20061,2000,2026-01-20,,,,,,,,2590,,4527078401066,"2025-11-13 19:00:53","2025-11-13 19:00:53"
